Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Erling Haaland,Man City,24.0,F (C),92.8,100.0,198.8
Martin Ødegaard,Arsenal,26.0,"M, AM (C)",89.2,92.9,126.5
Alexander Isak,Newcastle Utd.,25.0,F (C),82.0,84.9,120.3
Cole Palmer,Chelsea,23.0,M (C),80.1,92.5,115.4
Declan Rice,Arsenal,26.0,M (C),83.7,86.6,107.8
Alexis Mac Allister,Liverpool,26.0,"M, DM, AM (C)",85.5,88.9,106.1
Phil Foden,Man City,24.0,M (CR),86.5,93.6,105.7
Bukayo Saka,Arsenal,23.0,"F, M (R)",87.2,96.9,101.3
Rodri,Man City,28.0,"DM, M (C)",88.2,88.9,87.0
Ryan Gravenberch,Liverpool,22.0,"DM, M (C)",86.8,98.3,85.3
Bruno Guimarães,Newcastle Utd.,27.0,"DM, M (C)",80.9,82.6,83.2
Moisés Caicedo,Chelsea,23.0,"DM, M (C)",81.1,91.9,80.7
William Saliba,Arsenal,24.0,D (C),88.9,96.7,79.5
Omar Marmoush,Man City,26.0,F (C),77.1,79.4,79.1
Joško Gvardiol,Man City,23.0,D (CL),79.4,91.0,78.7
Gabriel Magalhães,Arsenal,27.0,D (C),84.8,86.5,75.5
Sávio,Man City,21.0,"F (R), M (RL)",77.8,91.6,74.8
Ethan Nwaneri,Arsenal,18.0,"F (R), M (C)",60.3,80.3,74.3
Enzo Fernández,Chelsea,24.0,"M, DM (C)",75.1,82.7,73.7
Dominik Szoboszlai,Liverpool,24.0,"M (C), AM (L)",86.9,93.8,71.4
Brennan Johnson,Tottenham,23.0,F (R),76.4,84.3,71.3
Lucas Paquetá,West Ham United,27.0,"AM, M (C)",76.0,78.0,71.2
Leny Yoro,Man Utd,19.0,D (CRL),70.5,88.1,71.0
Luis Díaz,Liverpool,28.0,"F (CL), M (L)",86.5,86.5,71.0
Kai Havertz,Arsenal,25.0,F (C),85.1,89.1,70.5
Morgan Rogers,Aston Villa,23.0,M (CRL),69.2,78.4,69.0
Murillo,Nottingham,22.0,D (C),73.9,85.8,68.4
Cody Gakpo,Liverpool,26.0,"F, M, AM (L)",86.3,89.3,67.5
Nicolas Jackson,Chelsea,23.0,F (C),81.5,91.3,66.2
Jérémy Doku,Man City,22.0,M (L),80.1,89.3,66.2
Kobbie Mainoo,Man Utd,20.0,"M, DM (C)",68.8,87.2,66.0
Jurrien Timber,Arsenal,23.0,D (RL),75.2,84.6,65.5
Rico Lewis,Man City,20.0,D (R),75.0,88.9,62.7
Matheus Cunha,Wolverhampton,25.0,F (C),80.9,83.2,62.6
Gabriel Martinelli,Arsenal,23.0,"F, AM (L)",87.7,96.4,62.6
Eberechi Eze,C. Palace,26.0,"AM, M (C), F (L)",74.9,75.8,62.2
Amadou Onana,Aston Villa,23.0,"DM, M (C)",68.7,76.0,62.1
Micky van de Ven,Tottenham,24.0,D (CL),71.1,79.1,61.8
Mohammed Kudus,West Ham United,24.0,"F (R), M (CL)",73.1,79.0,61.7
Morgan Gibbs-White,Nottingham,25.0,"M, AM (C)",77.1,80.0,61.7
Curtis Jones,Liverpool,24.0,"M, DM (C)",77.9,84.0,61.7
Miloš Kerkez,B'mouth,21.0,D (L),75.7,91.1,61.5
Ollie Watkins,Aston Villa,29.0,F (C),80.4,80.9,61.4
João Pedro,Brighton,23.0,"F, M, AM (C)",71.0,78.5,61.3
Darwin Núñez,Liverpool,25.0,"F (C), AM (L)",80.5,84.1,60.9
Alejandro Garnacho,Man Utd,20.0,AM (C),70.9,87.1,60.7
Pedro Neto,Chelsea,25.0,"F, M (R)",70.6,75.9,60.6
Dejan Kulusevski,Tottenham,25.0,"AM, M (C)",86.7,91.7,60.5
Manuel Ugarte,Man Utd,24.0,"DM, M (C)",72.5,79.6,60.4
Cristian Romero,Tottenham,27.0,D (C),72.6,74.8,60.1
Destiny Udogie,Tottenham,22.0,D (L),78.5,90.3,59.4
Ben White,Arsenal,27.0,D (R),83.1,84.9,58.8
Illia Zabarnyi,B'mouth,22.0,D (C),75.3,88.1,58.8
Diogo Jota,Liverpool,28.0,F (C),83.2,83.6,58.6
Rúben Dias,Man City,27.0,D (C),86.4,86.4,58.5
