Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValueRaw,TransferValue_EUR_Millions
Erling Haaland,Man City,24.0,F (C),92.8,100.0,€199.6M,199.6
Martin Ødegaard,Arsenal,26.0,"M, AM (C)",89.2,92.9,€125.8M,125.8
Alexander Isak,Newcastle Utd.,25.0,F (C),82.0,84.9,€119.4M,119.4
Cole Palmer,Chelsea,22.0,M (C),80.1,92.5,€117.4M,117.4
Alexis Mac Allister,Liverpool,26.0,"M, DM, AM (C)",85.5,88.9,€117M,117.0
Declan Rice,Arsenal,26.0,M (C),83.7,86.6,€116.4M,116.4
Bukayo Saka,Arsenal,23.0,"F, M (R)",87.2,96.9,€113M,113.0
Phil Foden,Man City,24.0,"AM (R), M (C)",86.5,93.6,€99.8M,99.8
Ryan Gravenberch,Liverpool,22.0,"DM, M (C)",86.8,98.3,€85.5M,85.5
Moisés Caicedo,Chelsea,23.0,DM (C),81.1,91.9,€82.8M,82.8
Bruno Guimarães,Newcastle Utd.,27.0,"DM, M (C)",80.9,82.6,€82.3M,82.3
Morgan Rogers,Aston Villa,23.0,M (CR),69.2,78.4,€79.6M,79.6
William Saliba,Arsenal,24.0,D (C),88.9,96.7,€79.5M,79.5
Omar Marmoush,Man City,26.0,F (C),77.1,79.4,€79.1M,79.1
Joško Gvardiol,Man City,23.0,D (CL),79.4,91.0,€77.4M,77.4
Sávio,Man City,21.0,"F (R), M (RL)",77.8,91.6,€74.8M,74.8
Rúben Dias,Man City,27.0,D (C),86.4,86.4,€74.5M,74.5
Enzo Fernández,Chelsea,24.0,"M, DM (C)",75.1,82.7,€74.2M,74.2
Lucas Paquetá,West Ham United,27.0,"AM, M (C)",76.0,78.0,€73.5M,73.5
Archie Gray,Tottenham,19.0,"D (CR), DM (C)",71.0,89.0,€72.5M,72.5
Dominik Szoboszlai,Liverpool,24.0,"M (C), AM (L)",86.9,93.8,€70.5M,70.5
Kai Havertz,Arsenal,25.0,F (C),85.1,89.1,€70M,70.0
Luis Díaz,Liverpool,28.0,"F (CL), M (L)",86.5,86.5,€69.3M,69.3
Cody Gakpo,Liverpool,25.0,"F, M, AM (L)",86.3,89.3,€67.7M,67.7
Brennan Johnson,Tottenham,23.0,"F, M (R)",76.4,84.3,€67M,67.0
Nicolas Jackson,Chelsea,23.0,F (C),81.5,91.3,€66.9M,66.9
Gabriel Magalhães,Arsenal,27.0,D (C),84.8,86.5,€66.5M,66.5
Leny Yoro,Man Utd,19.0,D (CR),70.5,88.1,€66.2M,66.2
Murillo,Nottingham,22.0,D (C),73.9,85.8,€66M,66.0
Amadou Onana,Aston Villa,23.0,"DM, M (C)",68.7,76.0,€64.4M,64.4
Ollie Watkins,Aston Villa,29.0,F (C),80.4,80.9,€63.2M,63.2
Mohammed Kudus,West Ham United,24.0,"F (R), M (CL)",73.1,79.0,€63M,63.0
Rico Lewis,Man City,20.0,D (R),75.0,88.9,€62.7M,62.7
Matheus Cunha,Wolverhampton,25.0,F (C),80.9,83.2,€62.6M,62.6
Eberechi Eze,C. Palace,26.0,"AM, M (C), F (L)",74.9,75.8,€62.2M,62.2
Micky van de Ven,Tottenham,24.0,D (CL),71.1,79.1,€62M,62.0
Morgan Gibbs-White,Nottingham,25.0,"M, AM (C)",77.1,80.0,€61.7M,61.7
Milos Kerkez,B'mouth,21.0,D (L),75.7,91.1,€61.6M,61.6
Curtis Jones,Liverpool,24.0,"M, DM (C)",77.9,84.0,€61.6M,61.6
João Pedro,Brighton,23.0,"F, M, AM (C)",71.0,78.5,€61.3M,61.3
Bruno Fernandes,Man Utd,30.0,"AM, M (C)",79.8,79.9,€61.2M,61.2
Pedro Neto,Chelsea,25.0,"F, M (R)",70.6,75.9,€60.4M,60.4
Dejan Kulusevski,Tottenham,25.0,"AM, M (C)",86.7,91.7,€60.3M,60.3
Gabriel Martinelli,Arsenal,23.0,"F, AM (L)",87.7,96.4,€60M,60.0
Cristian Romero,Tottenham,27.0,D (C),72.6,74.8,€60M,60.0
Levi Colwill,Chelsea,22.0,D (C),78.1,91.4,€59.8M,59.8
Darwin Núñez,Liverpool,25.0,"F (C), AM (L)",80.5,84.1,€59.7M,59.7
Destiny Udogie,Tottenham,22.0,D (L),78.5,90.3,€59.4M,59.4
Alejandro Garnacho,Man Utd,20.0,"F, M (L)",70.9,87.1,€59.2M,59.2
Marcus Rashford,Aston Villa,27.0,"M, AM (L), F (C)",79.1,79.2,€58.6M,58.6
Diogo Jota,Liverpool,28.0,F (C),83.2,83.6,€58.6M,58.6
Bryan Mbeumo,Brentford,25.0,"F (CR), M (R)",81.2,85.9,€57.6M,57.6
James Maddison,Tottenham,28.0,"AM, M (C)",81.2,81.2,€57.3M,57.3
Ibrahima Konaté,Liverpool,25.0,D (C),81.4,85.4,€57.2M,57.2
Dean Huijsen,B'mouth,20.0,D (C),65.2,82.3,€56.3M,56.3
Pedro Porro,Tottenham,25.0,D (R),74.6,79.7,€55.9M,55.9
Trent Alexander-Arnold,Liverpool,26.0,D (R),85.3,87.4,€55.4M,55.4
